# stack area ntrue nmarginal ra_stk dec_stk nobs observations
acisfJ0043105p520321_001 376.9 16 4 10.7941447643 52.0559369842 1 09294_000
acisfJ0043257m203917_001 375.1 40 17 10.85710382 -20.6547262949 1 09409_000
acisfJ0043263p410747_001 453.1 89 20 10.8595873727 41.1299944413 1 11252_000
acisfJ0043465p005509_001 456.0 16 3 10.9437720663 0.919425188712 1 03308_000
acisfJ0043476p242506_001 385.0 26 15 10.9484269986 24.4183365794 1 11735_000
acisfJ0044036p410042_001 454.7 43 11 11.0152981861 41.0116849287 1 11256_000
acisfJ0044048m203350_001 382.8 38 11 11.0201084783 -20.5639319393 1 15095_001
acisfJ0044084m203242_001 385.7 86 20 11.0353604059 -20.5450314386 1 15093_000
acisfJ0044100m203457_001 495.6 138 30 11.0436500272 -20.5801371312 4 15094_001,16366_000,16491_001,16513_000
acisfJ0044130p412623_001 443.7 31 7 11.0545055599 41.4398900922 1 07067_001
acisfJ0044240p023223_001 454.3 30 2 11.1000083269 2.539736979 1 04150_000
acisfJ0044377m653913_001 457.9 28 9 11.1574190561 -65.6538363385 1 12339_000
acisfJ0044393p412132_001 447.8 18 5 11.1641005055 41.3591644073 1 02900_001
acisfJ0044492p330044_001 376.2 48 9 11.2053204189 33.0123958519 1 02732_001
acisfJ0045005m085144_001 458.9 25 8 11.2521719864 -8.8622987703 1 10266_000
acisfJ0045279p143822_001 456.9 30 12 11.3664002167 14.6396649237 1 06889_000
acisfJ0045283p133920_001 21.6 4 0 11.3679249731 13.6557228648 1 10294_000
acisfJ0046046p414231_001 451.1 55 25 11.5193161793 41.7086808631 2 04541_000,06167_000
acisfJ0046091p413934_001 461.7 29 7 11.5380226916 41.6594728908 1 02052_000
acisfJ0046119p414259_001 454.5 27 8 11.5497166322 41.7164924153 1 02054_000
acisfJ0046142p010424_001 381.3 25 8 11.5592932674 1.0733866319 1 12764_001
acisfJ0046182m420808_001 451.4 34 16 11.5761445546 -42.1355717966 1 10319_000
acisfJ0046219p202932_001 382.1 30 16 11.5912503836 20.4924084486 1 11876_000
acisfJ0046260p201737_001 382.6 29 17 11.6083498207 20.2937257634 1 12185_000
acisfJ0046276p413958_001 459.1 34 13 11.6153784692 41.6661829124 1 02053_000
acisfJ0046343p203542_001 382.0 32 11 11.6433020888 20.595196788 1 11877_000
acisfJ0046580m204658_001 448.2 23 3 11.7418221906 -20.7828524225 1 12437_000
acisfJ0047032p851515_001 374.0 62 21 11.7635434218 85.2543739382 1 14939_000
acisfJ0047061m115257_001 459.8 49 13 11.7757116871 -11.8826803266 1 02565_000
acisfJ0047087m730927_001 456.6 45 17 11.7865287886 -73.157650387 1 03904_000
acisfJ0047115m730727_001 502.2 77 23 11.7916943627 -73.1260300578 3 14674_000,15507_000,16367_000
acisfJ0047265m081115_001 381.8 53 9 11.8604857929 -8.1876510243 1 03263_001
acisfJ0047343m251533_001 447.4 34 6 11.893295709 -25.2593100696 1 00383_000
acisfJ0047344m251707_001 919.0 211 54 11.8935406072 -25.2862937503 4 03931_000,13830_000,13831_000,13832_000
acisfJ0047462m112759_001 459.5 9 3 11.942568698 -11.4666372729 1 07844_000
acisfJ0048057m284809_001 461.0 36 14 12.0238915894 -28.8025657872 1 10343_000
acisfJ0048461p315712_001 452.2 76 21 12.1923111618 31.9534097269 1 12809_000
acisfJ0048539m343400_001 458.8 41 15 12.2247655507 -34.5669401604 1 12698_000
acisfJ0049250m724422_001 458.9 22 4 12.3545474345 -72.739665649 1 02944_001
acisfJ0049307m731652_001 449.6 39 4 12.3780940997 -73.2812052755 1 02945_000
acisfJ0049441m724945_001 388.5 86 29 12.434168725 -72.8291812396 2 14672_000,15505_001
acisfJ0049480p321610_001 389.7 118 27 12.4503236444 32.2697057279 2 16013_000,16301_000
acisfJ0049480p321715_001 11.3 1 0 12.4503307973 32.2875878359 1 01610_001
acisfJ0050061m005244_001 376.8 27 6 12.5257086797 -0.87897460197 1 04825_000
acisfJ0050095m003826_001 452.7 16 9 12.5398608497 -0.640592007919 1 05694_000
acisfJ0050272m173953_001 376.9 48 13 12.6135374702 -17.6647834829 2 09515_001,10576_000
acisfJ0050399m732234_001 460.1 47 15 12.6664520202 -73.3762596055 1 03907_001
acisfJ0050430m731625_001 460.4 87 20 12.679159751 -73.2737659213 3 07156_000,08479_000,08481_000
acisfJ0050468p230031_001 375.2 21 14 12.695365054 23.0087955276 1 13784_000
acisfJ0050554p511209_001 303.2 22 1 12.7309044003 51.2027546423 1 14994_000
acisfJ0050558p293311_001 23.3 1 0 12.7328430372 29.5530557967 1 02152_000
acisfJ0051022m010256_001 615.3 17 1 12.759478855 -1.04903094694 2 04097_000,09224_000
acisfJ0051030m732129_001 467.8 111 19 12.762683885 -73.3582268975 17 11095_000,11096_001,11097_001,11980_000,11981_000,11982_000,11983_000,11984_000,11985_000,12200_000,12208_000,12210_000,12211_000,12212_000,12215_000,12216_000,12217_000
acisfJ0051308p042247_001 379.9 8 1 12.8784800384 4.3797495915 1 15968_000
acisfJ0051505m730047_001 489.9 89 35 12.9613031875 -73.0132422658 2 14670_000,15503_000
acisfJ0052029p473319_001 679.6 124 32 13.0123615135 47.5555084298 2 02055_000,02056_003
acisfJ0052252p563347_001 461.6 310 79 13.1051301906 56.5632061326 3 05424_000,07205_000,07206_000
acisfJ0052364m801537_001 382.9 15 11 13.1518553406 -80.2605418876 1 15156_000
acisfJ0052448m263517_001 446.6 72 19 13.186706429 -26.5880893939 1 03777_000
acisfJ0052458m724208_001 498.7 69 22 13.1905496479 -72.7025637325 2 14669_000,15502_000
acisfJ0053043m724218_001 447.3 25 8 13.2683132367 -72.7050621776 1 02946_000
acisfJ0053114m722629_001 448.4 30 9 13.2976937448 -72.4416402988 1 02947_001
acisfJ0053317m722632_001 457.2 119 21 13.3822454067 -72.442235381 2 07155_000,07327_000
acisfJ0053546m000235_001 459.2 17 9 13.4778917884 -0.0431765970869 1 04830_002
acisfJ0054047p730502_001 385.0 24 8 13.5199262316 73.0840647713 1 15062_000
acisfJ0054127p124416_001 381.9 48 13 13.5532453589 12.7378821855 1 04983_000
acisfJ0054530m373842_001 378.0 84 18 13.7210518759 -37.6450245067 1 12238_000
